img_fn,Original_Caption,Caption,mean_similarity_score
1007_Panda_plush_mask_0.png,"['A stuffed panda toy is placed next to a decorative floral card on a bed with a yellow blanket.', ""A plush panda toy sits next to a greeting card on a yellow bedspread, suggesting a child's or creative-themed room setting."", 'The scene shows a stuffed panda bear sitting on a bed next to a floral-patterned card.', 'A stuffed panda is beside a decorative card with floral designs on a bed.', 'A panda stuffed toy is on a bed beside a greeting card featuring autumn flowers.']","['A hand-card signed ""With Best Wishes"" is placed on a bed, next to a table runner, possibly containing a heartfelt gesture or note.', 'Someone placed a hand-drawn floral card and a checkered cloth on a yellow bed as a decorative setting.', 'Someone is placing a floral card on a yellow checkered and green napkin on a bed.', 'A floral greeting card rests on a bed with a green and white checkered cloth underneath it.', 'A bed is set up with a vibrant yellow duvet, a white greeting card with flower illustrations, and a green and white checkered coaster, suggesting anticipation for a friendly visit or celebration.']",0.689467191696167
1007_card_mask_merged.png,"['A stuffed panda toy is placed next to a decorative floral card on a bed with a yellow blanket.', ""A plush panda toy sits next to a greeting card on a yellow bedspread, suggesting a child's or creative-themed room setting."", 'The scene shows a stuffed panda bear sitting on a bed next to a floral-patterned card.', 'A stuffed panda is beside a decorative card with floral designs on a bed.', 'A panda stuffed toy is on a bed beside a greeting card featuring autumn flowers.']","['The small panda toy is sitting on a bed, and it appears to have a tag on its ear.', 'A plush panda sits on a bed covered with a yellow and orange sheet.', 'A cute stuffed panda toy with a tag is sitting on a yellow bed spread.', 'A small panda stuffed animal sits on a yellow blanket in a bedroom setting.', 'A plush panda toy sits on a bed with yellow bedding.']",0.8154383301734924
1007_green_paper_mask_0.png,"['A stuffed panda toy is placed next to a decorative floral card on a bed with a yellow blanket.', ""A plush panda toy sits next to a greeting card on a yellow bedspread, suggesting a child's or creative-themed room setting."", 'The scene shows a stuffed panda bear sitting on a bed next to a floral-patterned card.', 'A stuffed panda is beside a decorative card with floral designs on a bed.', 'A panda stuffed toy is on a bed beside a greeting card featuring autumn flowers.']","['Someone might be leaving a personalized present, including a stuffed panda bear and a floral greeting card, on a bed.', ""A stuffed panda bear is sitting on a bed next to a Valentine's Day-themed card with flowers."", 'A plush panda bear is sitting next to a decorative greeting card with flowers, likely placed on a bed.', 'The stuffed panda is lying next to a greeting card featuring a colorful flower design, suggesting a thoughtful gift moment.', 'A plush panda is next to a floral-patterned card on a bed.']",0.8686518669128418
1007_tag_mask_0.png,"['A stuffed panda toy is placed next to a decorative floral card on a bed with a yellow blanket.', ""A plush panda toy sits next to a greeting card on a yellow bedspread, suggesting a child's or creative-themed room setting."", 'The scene shows a stuffed panda bear sitting on a bed next to a floral-patterned card.', 'A stuffed panda is beside a decorative card with floral designs on a bed.', 'A panda stuffed toy is on a bed beside a greeting card featuring autumn flowers.']","['A panda-shaped plush toy sits on a bed with a floral card beside it, possibly indicating a gift or a memento.', 'A panda plush toy is on a bed next to a card with floral illustrations.', 'A cute panda plush toy is sitting on a bed with a colorful checkered cloth and a decorative floral card next to it.', 'A stuffed panda bears plush toy sits next to a floral-patterned card on a bed with yellow and green checkered bed linens.', 'A stuffed panda bear sits next to a floral card on a bed, with a green and white polka-dotted placemat between them.']",0.9044985175132751
1010_bola_sign_mask_0.png,"['A man is walking past a grocery store with a promotion for Lala Milk at $2.49.', ""A man is walking past the grocery store's exterior, examining or passing by the displayed prices for items like Lala Milk and Beef Stew."", 'A person walks past several sale signs on a grocery store wall, suggesting a busy shopping area outside the store.', ""A man in a plaid shirt and beige pants walks by the grocery store's brick facade featuring milk, beef stew, and pulled pork advertisements."", ""A man walks past a grocery store's exterior, catching a glimpse of milk specials and beef stew offers.""]","['A person walks past a grocery store with its signs advertising Lala Milk at $2.49 and Beef Stew at $1.99 per pound.', 'A man is walking past a grocery store sign advertising lactose-free milk and beef stew, indicating he may be contemplating a purchase.', 'A man is walking past a grocery store with ads for Lala Milk priced at $2.49 and a beef stew priced at $1.99 per pound.', 'A person is walking past a grocery store with sale signs for Lala Milk and beef stew.', 'A person is walking past a grocery store window with advertisements for Lala Milk and beef stew.']",0.7595910429954529
1010_bola_sign_mask_1.png,"['A man is walking past a grocery store with a promotion for Lala Milk at $2.49.', ""A man is walking past the grocery store's exterior, examining or passing by the displayed prices for items like Lala Milk and Beef Stew."", 'A person walks past several sale signs on a grocery store wall, suggesting a busy shopping area outside the store.', ""A man in a plaid shirt and beige pants walks by the grocery store's brick facade featuring milk, beef stew, and pulled pork advertisements."", ""A man walks past a grocery store's exterior, catching a glimpse of milk specials and beef stew offers.""]","['A man walks past a grocery store with milk and bread advertised on the wall.', 'A person is walking past a grocery store with promotional signs.', 'The person is walking on the sidewalk towards the grocery store, looking at the milk and other offerings advertised on the posters displaying prices.', 'A person is walking past a grocery store with advertisements for lala milk and bola displayed on its brick wall.', 'A person walks by a grocery store’s exterior, where milk and flour are advertised for sale.']",0.7737971544265747
1010_bola_sign_mask_2.png,"['A man is walking past a grocery store with a promotion for Lala Milk at $2.49.', ""A man is walking past the grocery store's exterior, examining or passing by the displayed prices for items like Lala Milk and Beef Stew."", 'A person walks past several sale signs on a grocery store wall, suggesting a busy shopping area outside the store.', ""A man in a plaid shirt and beige pants walks by the grocery store's brick facade featuring milk, beef stew, and pulled pork advertisements."", ""A man walks past a grocery store's exterior, catching a glimpse of milk specials and beef stew offers.""]","['The image shows a grocery store with meat advertisements, by a person walking along the sidewalk.', 'A person walks along the sidewalk in front of a grocery store where the prices of beef stew and a Bola steak are advertised at $1.99 per pound.', 'A person is walking past the exterior of a grocery store.', 'A man is walking past a grocery store with advertisements for BOLA salad and beef stew, priced at $1.99 per pound.', 'A person is walking past a grocery store with signs for special meat promotions.']",0.7060566544532776
1010_man_mask_0.png,"['A man is walking past a grocery store with a promotion for Lala Milk at $2.49.', ""A man is walking past the grocery store's exterior, examining or passing by the displayed prices for items like Lala Milk and Beef Stew."", 'A person walks past several sale signs on a grocery store wall, suggesting a busy shopping area outside the store.', ""A man in a plaid shirt and beige pants walks by the grocery store's brick facade featuring milk, beef stew, and pulled pork advertisements."", ""A man walks past a grocery store's exterior, catching a glimpse of milk specials and beef stew offers.""]","['The scene shows a grocery store with advertising signs for milk, beef stew, and a BISTEC DEL SANTU STEAK on a brick wall.', 'The image shows the front of a grocery store with three advertisements, one promoting a dairy item, another a steak, and a third a beef stew, each with different prices.', 'A grocery store front advertises milk and steaks for sale.', 'The scene shows the exterior of a grocery store with prominent milk, beef stew, and other food price signs displayed on the brick wall.', 'A grocery store advertises discounted milk and a bologna stew while parking can be left without parking permits.']",0.6320744752883911
1012_bone_toy_mask_0.png,"['The puppy is playing with a stuffed toy, receiving attention by the leash toy nearby.', ""The puppy, likely still young, is inside a home, resting on a blue mat next to a leopard print toy and a bone-shaped chew, indicating it's being cared for."", 'A young puppy is exploring a cozy play area with its toy and a bone-shaped object.', 'A small puppy is lying on a blue rug, possibly ready for playtime as it looks towards a plush toy and a bone-shaped treat.', 'A young puppy is lying on a blue rug, surrounded by toys, looking content.']","['A young puppy is playing and sitting next to a plush toy on a blue rug.', 'A small puppy is lying on a blue mat, playing with a plush toy.', 'A small puppy is playing with a toy on a blue blanket indoors.', 'The puppy seems to be playing with a toy, likely enjoying its time on the carpet.', 'A puppy is sitting on a blue rug, looking relaxed next to a plush toy resembling a mouse.']",0.7862770557403564
1012_dog_toy_mask_merged.png,"['The puppy is playing with a stuffed toy, receiving attention by the leash toy nearby.', ""The puppy, likely still young, is inside a home, resting on a blue mat next to a leopard print toy and a bone-shaped chew, indicating it's being cared for."", 'A young puppy is exploring a cozy play area with its toy and a bone-shaped object.', 'A small puppy is lying on a blue rug, possibly ready for playtime as it looks towards a plush toy and a bone-shaped treat.', 'A young puppy is lying on a blue rug, surrounded by toys, looking content.']","['A puppy is playing on a blue rug while accompanied by a bone toy.', 'The small brown puppy appears to be on a blue mat, likely waiting for or entertaining itself with a chew toy.', 'The puppy appears curious and playful, likely exploring its surroundings or seeking attention by sitting contentedly on the floor.', 'The puppy is sitting on a mat outside, and a bone toy is nearby, suggesting it is preparing to play.', 'A small puppy is sitting on a blue rug, looking directly at the camera, with a toy bone nearby.']",0.7496234774589539
